rank,layer,neuron,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency,snr
246,27,6091,-0.0017871856689453125,0.0017871856689453125,0.0017871856689453125,0.0003887389902956784,0.0,1.0,4.597392559051514
247,31,7450,0.0017862319946289062,0.0017862319946289062,0.0017862319946289062,0.0007821821491234004,1.0,1.0,2.2836523056030273
248,21,13134,0.001781463623046875,0.001781463623046875,0.001781463623046875,0.0008049915195442736,1.0,1.0,2.2130215167999268
249,31,10459,0.001781463623046875,0.001781463623046875,0.001781463623046875,0.0006480608135461807,1.0,1.0,2.7489142417907715
250,31,13599,0.001781463623046875,0.001781463623046875,0.001781463623046875,0.0007987305871210992,1.0,1.0,2.2303686141967773
251,31,14304,0.0017757415771484375,0.0017757415771484375,0.0017757415771484375,0.00011269509559497237,1.0,1.0,15.757043838500977
252,30,2226,-0.001773834228515625,0.001773834228515625,0.001773834228515625,0.0002959034754894674,0.0,1.0,5.994637966156006
253,15,9635,-0.001771688461303711,0.001771688461303711,0.003320455551147461,0.003893102053552866,0.25,0.75,0.4550839960575104
254,20,3876,0.0017681121826171875,0.0017681121826171875,0.0017681121826171875,0.00030917293042875826,1.0,1.0,5.718845367431641
255,22,2958,0.0017681121826171875,0.0017681121826171875,0.0017681121826171875,0.00026628526393324137,1.0,1.0,6.639917373657227
256,28,8219,-0.0017642974853515625,0.0017642974853515625,0.0017642974853515625,0.0006059817969799042,0.0,1.0,2.9114694595336914
257,26,7419,-0.00176239013671875,0.00176239013671875,0.00176239013671875,0.0008293787250295281,0.0,1.0,2.1249520778656006
258,20,133,0.0017566680908203125,0.0017566680908203125,0.0017566680908203125,0.0008006389834918082,1.0,1.0,2.194082736968994
259,31,5883,-0.0017547607421875,0.0017547607421875,0.0017547607421875,0.0006478474824689329,0.0,1.0,2.708601713180542
260,26,8722,0.001750946044921875,0.001750946044921875,0.001750946044921875,0.00032163577270694077,1.0,1.0,5.443878650665283
261,28,10999,0.0017404556274414062,0.0017404556274414062,0.0017404556274414062,0.0006950833485461771,1.0,1.0,2.5039525032043457
262,22,377,0.001735687255859375,0.001735687255859375,0.001735687255859375,0.000731198932044208,1.0,1.0,2.3737552165985107
263,29,8993,-0.001735687255859375,0.001735687255859375,0.001735687255859375,0.00021542065951507539,0.0,1.0,8.057199478149414
264,26,6423,-0.0017333030700683594,0.0017333030700683594,0.0017333030700683594,0.0008232583641074598,0.0,1.0,2.1054182052612305
265,16,11992,0.0017325878143310547,0.0017325878143310547,0.0017325878143310547,0.0021798170637339354,1.0,1.0,0.7948317527770996
266,14,8913,0.0017299652099609375,0.0017299652099609375,0.0017299652099609375,0.0008685350185260177,1.0,1.0,1.9918197393417358
267,18,12745,-0.001728057861328125,0.001728057861328125,0.001728057861328125,0.0007029504631645977,0.0,1.0,2.4582924842834473
268,31,3743,-0.001728057861328125,0.001728057861328125,0.001728057861328125,0.0004067440459039062,0.0,1.0,4.248514175415039
269,24,1956,0.0017232894897460938,0.0017232894897460938,0.0017232894897460938,0.0005851077730767429,1.0,1.0,2.94525146484375
270,0,10902,0.0017228126525878906,0.0017228126525878906,0.0017228126525878906,0.0012752329930663109,1.0,1.0,1.3509787321090698
271,15,764,0.0017223358154296875,0.0017223358154296875,0.0017223358154296875,0.0014616054249927402,1.0,1.0,1.1783863306045532
272,20,5771,0.0017194747924804688,0.0017194747924804688,0.0017194747924804688,0.0006168341496959329,1.0,1.0,2.7875804901123047
273,30,669,-0.00171661376953125,0.00171661376953125,0.00171661376953125,0.0010573389008641243,0.0,1.0,1.6235227584838867
274,16,3598,-0.001712799072265625,0.001712799072265625,0.001712799072265625,0.00017675678827799857,0.0,1.0,9.690145492553711
275,31,11817,-0.001708984375,0.001708984375,0.001708984375,0.00046479859156534076,0.0,1.0,3.6768276691436768
276,16,2756,-0.0017070770263671875,0.0017070770263671875,0.0017070770263671875,0.0015170425176620483,0.0,1.0,1.125266432762146
277,26,7068,0.001705169677734375,0.001705169677734375,0.001705169677734375,0.0004525684635154903,1.0,1.0,3.767760753631592
278,19,4762,0.0017037391662597656,0.0017037391662597656,0.0018630027770996094,0.001320999232120812,0.75,0.75,1.289735198020935
279,18,13570,0.0017032623291015625,0.0017032623291015625,0.0017032623291015625,0.0015610095579177141,1.0,1.0,1.0911287069320679
280,27,4121,0.0017032623291015625,0.0017032623291015625,0.0017032623291015625,0.0006128349923528731,1.0,1.0,2.7793164253234863
281,25,1907,-0.00170135498046875,0.00170135498046875,0.00170135498046875,0.00043844131869263947,0.0,1.0,3.880462169647217
282,16,6772,0.00170135498046875,0.00170135498046875,0.0020599365234375,0.0014496853109449148,0.75,0.75,1.1736029386520386
283,29,166,-0.0016984939575195312,0.0016984939575195312,0.0016984939575195312,0.0014766756212338805,0.0,1.0,1.150214672088623
